iter	Passed	Remaining
401	15453	22987
402	15481	22934
403	15505	22874
404	15529	22814
405	15556	22759
406	15580	22701
407	15605	22642
408	15632	22588
409	15656	22530
410	15682	22473
411	15705	22414
412	15733	22362
413	15758	22305
414	15786	22253
415	15813	22199
416	15838	22142
417	15864	22088
418	15895	22041
419	15919	21984
420	15945	21929
421	15974	21879
422	15999	21825
423	16028	21773
424	16053	21719
425	16079	21666
426	16104	21610
427	16133	21561
428	16161	21511
429	16190	21461
430	16219	21413
431	16254	21371
432	16282	21321
433	16314	21276
434	16345	21230
435	16371	21177
436	16399	21128
437	16423	21073
438	16450	21021
439	16476	20970
440	16500	20915
441	16523	20860
442	16549	20807
443	16577	20758
444	16602	20706
445	16627	20653
446	16654	20604
447	16681	20554
448	16706	20501
449	16732	20451
450	16756	20397
451	16782	20347
452	16807	20295
453	16834	20246
454	16864	20200
455	16889	20149
456	16913	20096
457	16945	20052
458	16970	20002
459	16995	19951
460	17021	19902
461	17047	19852
462	17073	19801
463	17097	19750
464	17123	19700
465	17148	19650
466	17175	19603
467	17203	19556
468	17230	19508
469	17255	19458
470	17284	19412
471	17315	19369
472	17358	19339
473	17396	19304
474	17437	19272
475	17480	19242
476	17521	19211
477	17559	19176
478	17609	19153
479	17652	19123
480	17680	19077
481	17713	19036
482	17749	18999
483	17792	18969
484	17834	18937
485	17877	18907
486	17919	18875
487	17956	18839
488	17990	18799
489	18022	18757
490	18058	18720
491	18095	18683
492	18133	18648
493	18167	18608
494	18204	18572
495	18236	18530
496	18269	18489
497	18307	18454
498	18347	18420
499	18388	18388
500	18431	18357
501	18479	18331
502	18517	18296
503	18547	18252
504	18580	18212
505	18616	18175
506	18655	18140
507	18698	18109
508	18787	18123
509	18825	18087
510	18858	18046
511	18887	18002
512	18920	17961
513	18951	17918
514	18978	17873
515	19006	17828
516	19035	17783
517	19066	17741
518	19099	17701
519	19136	17664
520	19168	17623
521	19196	17578
522	19232	17541
523	19264	17500
524	19300	17462
525	19328	17417
526	19359	17375
527	19389	17333
528	19420	17291
529	19454	17251
530	19487	17211
531	19520	17171
532	19551	17130
533	19582	17088
534	19615	17049
535	19650	17010
536	19673	16962
537	19697	16914
538	19723	16869
539	19747	16821
540	19771	16774
541	19796	16728
542	19821	16682
543	19845	16635
544	19870	16588
545	19897	16544
546	19921	16497
547	19948	16454
548	19974	16408
549	19998	16362
550	20020	16314
551	20045	16268
552	20072	16224
553	20095	16178
554	20120	16132
555	20146	16088
556	20183	16052
557	20222	16018
558	20246	15972
559	20273	15929
560	20300	15885
561	20326	15842
562	20352	15797
563	20376	15752
564	20402	15708
565	20429	15665
566	20455	15621
567	20479	15575
568	20507	15533
569	20531	15488
570	20562	15448
571	20587	15404
572	20610	15358
573	20634	15314
574	20658	15269
575	20683	15225
576	20709	15181
577	20732	15136
578	20755	15091
579	20778	15046
580	20803	15002
581	20831	14961
582	20860	14920
583	20894	14883
584	20921	14841
585	20950	14801
586	20978	14760
587	21007	14719
588	21039	14681
589	21073	14644
590	21104	14605
591	21145	14573
592	21181	14537
593	21214	14500
594	21247	14462
595	21281	14426
596	21313	14387
597	21343	14347
598	21372	14308
599	21402	14268
600	21438	14232
601	21467	14192
602	21496	14153
603	21525	14112
604	21555	14073
605	21584	14033
606	21619	13997
607	21651	13959
608	21681	13920
609	21709	13879
610	21738	13840
611	21768	13800
612	21798	13761
613	21825	13720
614	21851	13679
615	21879	13639
616	21913	13602
617	21949	13567
618	21978	13528
619	22012	13491
620	22041	13452
621	22073	13414
622	22118	13384
623	22158	13351
624	22199	13319
625	22237	13285
626	22278	13253
627	22318	13220
628	22351	13183
629	22386	13147
630	22418	13109
631	22444	13068
632	22468	13026
633	22492	12984
634	22515	12941
635	22541	12900
636	22566	12859
637	22591	12818
638	22616	12776
639	22640	12735
640	22664	12693
641	22687	12651
642	22712	12610
643	22736	12568
644	22761	12527
645	22786	12486
646	22810	12445
647	22838	12406
648	22864	12365
649	22893	12327
650	22916	12285
651	22941	12244
652	22964	12203
653	22987	12161
654	23010	12119
655	23032	12078
656	23058	12038
657	23083	11997
658	23107	11957
659	23134	11917
660	23160	11878
661	23192	11841
662	23225	11805
663	23254	11767
664	23282	11728
665	23308	11689
666	23338	11651
667	23371	11615
668	23403	11579
669	23439	11544
670	23472	11508
671	23499	11470
672	23526	11430
673	23551	11391
674	23577	11352
675	23606	11314
676	23633	11275
677	23661	11237
678	23686	11197
679	23714	11159
680	23747	11124
681	23776	11086
682	23803	11047
683	23827	11008
684	23854	10969
685	23878	10929
686	23902	10890
687	23930	10852
688	23960	10815
689	23986	10776
690	24016	10739
691	24046	10702
692	24077	10666
693	24102	10627
694	24126	10587
695	24150	10548
696	24177	10510
697	24200	10470
698	24225	10431
699	24250	10393
700	24276	10354
701	24300	10315
702	24323	10276
703	24347	10237
704	24373	10198
705	24399	10160
706	24426	10122
707	24455	10085
708	24479	10047
709	24504	10008
710	24528	9970
711	24551	9931
712	24575	9892
713	24599	9853
714	24622	9814
715	24646	9775
716	24669	9737
717	24693	9698
718	24716	9659
719	24740	9621
720	24767	9584
721	24792	9546
722	24815	9507
723	24837	9468
724	24863	9430
725	24888	9393
726	24920	9358
727	24946	9320
728	24973	9283
729	24996	9245
730	25019	9206
731	25042	9168
732	25066	9130
733	25092	9093
734	25116	9055
735	25142	9018
736	25166	8980
737	25191	8943
738	25216	8905
739	25240	8868
740	25263	8830
741	25289	8793
742	25312	8755
743	25335	8717
744	25358	8679
745	25381	8642
746	25407	8605
747	25432	8568
748	25457	8531
749	25482	8494
750	25511	8458
751	25540	8422
