iter	Accuracy	MultiClass
0	0.527656035	1.985162072
1	0.5270799626	1.9113495
2	0.5277158792	1.851943941
3	0.5284180569	1.800716059
4	0.5289674485	1.7571964
5	0.529036109	1.718944615
6	0.5320259499	1.684308115
7	0.5319961674	1.653851883
8	0.5335376577	1.624943146
9	0.5338348247	1.599987126
10	0.5358475971	1.576260709
11	0.5366933388	1.555645407
12	0.5369768375	1.537085048
13	0.5372261416	1.518508015
14	0.5379937101	1.501598881
15	0.5382697759	1.484858805
16	0.5386558768	1.469600623
17	0.5395012427	1.456818731
18	0.5399046255	1.443665648
19	0.5405271898	1.431746133
20	0.5410992776	1.419774957
21	0.5414128134	1.410004685
22	0.5426238191	1.399558452
23	0.5433994739	1.390089124
24	0.5439229159	1.3810503
25	0.5447832622	1.372742378
26	0.5453336738	1.36479157
27	0.5462107113	1.356790331
28	0.5471149856	1.348572063
29	0.5472339517	1.341541989
30	0.5481621481	1.333304041
31	0.5491259466	1.325963729
32	0.5499749402	1.318725919
33	0.5505912916	1.311964944
34	0.5511027853	1.305548373
35	0.551859165	1.299741342
36	0.552223187	1.294001278
37	0.5531520093	1.28787212
38	0.5540827584	1.282366852
39	0.5543779568	1.27702709
40	0.5548557405	1.27197597
41	0.5550767067	1.266629511
42	0.5557100644	1.262102651
43	0.5563155729	1.257570597
44	0.557029335	1.251727622
45	0.5582302527	1.24641287
46	0.5590700609	1.239886828
47	0.5598132849	1.235140478
48	0.560755288	1.228974147
49	0.5619667948	1.225027853
50	0.5634071991	1.219563722
51	0.5643213496	1.214717605
52	0.5652416495	1.210167511
53	0.5659026355	1.206405036
54	0.5665170493	1.202102039
55	0.5670862791	1.196903591
56	0.568399455	1.192916707
57	0.5690911753	1.189660177
58	0.5702638872	1.185814471
59	0.5711613424	1.181632835
60	0.5718345258	1.178492473
61	0.5725353415	1.175680526
62	0.5736643268	1.17213098
63	0.5743232219	1.169043645
64	0.5746270951	1.166138763
65	0.5755082057	1.16255136
66	0.5759687593	1.160053886
67	0.5769325381	1.156343208
68	0.5776415943	1.154156107
69	0.5783063397	1.151107313
